Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do;jsessionid=E7BDC6600B1CE45B30CC3EF1AEDD079B?SERIES_KEY=120.EXR.D.HUF.EUR.SP00.A&start=01-01-1999&end=18-08-2022&submitOptions.x=0&submitOptions.y=0&trans=N
;EXR.D.HUF.EUR.SP00.A
;ECB reference exchange rate, Hungarian forint/Euro, 2:15 pm (C.E.T.)
Collection:;Average of observations through period (A)
Period\Unit:;[Hungarian forint ]
;;obs. status;obs. comment
2022-08-18;405,13;Normal value (A);
2022-08-17;404,28;Normal value (A);
2022-08-16;406,20;Normal value (A);
2022-08-15;398,60;Normal value (A);
2022-08-12;392,30;Normal value (A);
2022-08-11;394,18;Normal value (A);
2022-08-10;397,65;Normal value (A);
2022-08-09;397,35;Normal value (A);
2022-08-08;394,27;Normal value (A);
2022-08-05;393,78;Normal value (A);
2022-08-04;395,98;Normal value (A);
2022-08-03;395,03;Normal value (A);
2022-08-02;396,82;Normal value (A);
2022-08-01;401,35;Normal value (A);
2022-07-29;404,80;Normal value (A);
2022-07-28;407,30;Normal value (A);
2022-07-27;404,67;Normal value (A);
2022-07-26;400,99;Normal value (A);
2022-07-25;396,50;Normal value (A);
2022-07-22;398,30;Normal value (A);
2022-07-21;400,13;Normal value (A);
2022-07-20;399,50;Normal value (A);
2022-07-19;397,45;Normal value (A);
2022-07-18;402,05;Normal value (A);
2022-07-15;403,73;Normal value (A);
2022-07-14;408,78;Normal value (A);
2022-07-13;409,35;Normal value (A);
2022-07-12;409,98;Normal value (A);
2022-07-11;408,22;Normal value (A);
2022-07-08;402,45;Normal value (A);
2022-07-07;410,04;Normal value (A);
2022-07-06;411,80;Normal value (A);
2022-07-05;407,38;Normal value (A);
2022-07-04;401,52;Normal value (A);
2022-07-01;401,11;Normal value (A);
2022-06-30;397,04;Normal value (A);
2022-06-29;394,28;Normal value (A);
2022-06-28;398,55;Normal value (A);
2022-06-27;402,62;Normal value (A);
2022-06-24;401,34;Normal value (A);
2022-06-23;399,60;Normal value (A);
2022-06-22;396,00;Normal value (A);
2022-06-21;396,48;Normal value (A);
2022-06-20;397,85;Normal value (A);
2022-06-17;400,53;Normal value (A);
2022-06-16;398,10;Normal value (A);
2022-06-15;397,96;Normal value (A);
2022-06-14;398,68;Normal value (A);
2022-06-13;399,30;Normal value (A);
2022-06-10;398,48;Normal value (A);
2022-06-09;396,45;Normal value (A);
2022-06-08;391,25;Normal value (A);
2022-06-07;389,33;Normal value (A);
2022-06-06;388,05;Normal value (A);
2022-06-03;394,78;Normal value (A);
2022-06-02;394,90;Normal value (A);
2022-06-01;395,03;Normal value (A);
2022-05-31;396,20;Normal value (A);
2022-05-30;392,18;Normal value (A);
2022-05-27;392,83;Normal value (A);
2022-05-26;391,72;Normal value (A);
2022-05-25;388,25;Normal value (A);
2022-05-24;383,33;Normal value (A);
2022-05-23;381,65;Normal value (A);
2022-05-20;382,93;Normal value (A);
2022-05-19;385,83;Normal value (A);
2022-05-18;382,88;Normal value (A);
2022-05-17;386,30;Normal value (A);
2022-05-16;385,85;Normal value (A);
2022-05-13;385,00;Normal value (A);
2022-05-12;382,20;Normal value (A);
2022-05-11;379,13;Normal value (A);
2022-05-10;380,15;Normal value (A);
2022-05-09;383,23;Normal value (A);
